Name of Organization,Organization Address,Organization City,"Organization State
(Drop-down options)",Organization Zip/Postal Code,Business Phone Number,Hours of Operation,Webpage,Name of Point of Contact,Position/Title,Business Email Address,"Type of Organization
(Response options in Question 3 of the Read-Me.)",What digital inclusion service(s) does your entity/organization provide to individuals? (Response options in Question 4 of the Read-Me.),"What is your entity/organization's service area?
(Drop-down options)",Please indicate all the counties in which you provide services.(Response options in Question 6 of the Read-Me).,Please indicate all the cities in which you provide services.,"In-Person or Virtual Services
(Drop-down options)","Does your entity/organization charge for its services?
(Drop-down options)","Does your entity/organization serve individuals at or below 150% of the Federal Poverty Level?
(Drop-down options)","If yes, does your entity/organization serve any additional populations? (Response options in Question 10a of the Read-Me).",What language(s) does your entity/organization provide its services in?,Does your entity/organization provide any of the following support or services to other organizations? (Response options in Question 12 of the Read-Me.),"Does your entity/organization charge for its services?
(Drop-down options)",,,
HACLA - Pueblo del Rio,1801 E. 53rd Street,Los Angeles,CA,90058,,Mon-Fri 12:00pm - 5:00pm,https://www.hacla.org/en/computer-labsdigital-libraries-old,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,"Public Housing Authority or Affordable Housing Organization, Local or Regional Authority","Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No,,,
HACLA - Ramona Gardens, 2830 Lancaster Avenue,Los Angeles,CA,90033,,Mon-Fri 12:00pm - 5:00pm,https://www.hacla.org/en/computer-labsdigital-libraries-old,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,"Public Housing Authority or Affordable Housing Organization, Local or Regional Authority","Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No,,,
HACLA - Rancho San Pedro,202 S. Beacon Street,San Pedro,CA,90731,,Mon-Fri 12:00pm - 5:00pm,https://www.hacla.org/en/computer-labsdigital-libraries-old,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,"Public Housing Authority or Affordable Housing Organization, Local or Regional Authority","Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,San Pedro,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No,,,
HACLA - William Mead Homes,1300 N. Cardinal Street,Los Angeles,CA,90012,,Mon-Fri 12:00pm - 5:00pm,https://www.hacla.org/en/computer-labsdigital-libraries-old,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,"Public Housing Authority or Affordable Housing Organization, Local or Regional Authority","Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No,,,
Heart of Ida,1150 E 4th Street,Long Beach,CA,90803,(562) 570-3548,"M-W-F 10:00am-1:00pm, closed 2nd Fri of the month",https://www.heartofida.org/digital-inclusion/,Dina Berg,,,Community-based organization/Non-profit (501c3),Digital literacy & skills training,City-wide or across multiple cities,Los Angeles,Long Beach,In-Person,No,Yes,"seniors, aging population","English, Spanish",no,No,,,
Long Beach City College,4901 E Carson St,Long Beach,CA,90808,(562) 938-3248,Mon - Fri 8am - 5pm,"https://lbcc.edu/pod/free-esl-classes



https://lbcc.edu/post/computer-office-studies",Sarah Bowers,Community Education Coordinator,sbowers@lbcc.edu,Community College,Digital literacy & skills training,City-wide or across multiple cities,Los Angeles,Long Beach,Both,No,Yes,All,English,,No,,,
Los Angeles County Library - A C Bilbrew Library,150 E. El Segundo Blvd.,Los Angeles,CA,90061,310.538.3350,"Mon 10-8, Tue 10-8, Wed 10-8, Thu 10-8, Fri 10-6, Sat 10-6, Sun Closed",https://lacountylibrary.org/location/a-c-bilbrew-library/,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Acton Agua Dulce Library,33792 Crown Valley Rd.,Acton,CA,93510,661.269.7101,"Mon 10-8, Tue 10-8, Wed 10-8, Thu 10-8, Fri 10-6, Sat 10-6, Sun Closed",Acton Agua Dulce Library – LA County Library,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Acton,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Agoura Hills Library,29901 Ladyface Court,Agoura Hills,CA,91301,818.889.2278,"Mon Closed, Tue 12-8, Wed 12-8, Thu 10-6, Fri 10-6, Sat 10-6, Sun Closed",Agoura Hills Library – LA County Library,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Agoura Hills,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Alondra Library,11949 Alondra Blvd.,Norwalk,CA,90650,562.868.7771,"Mon 10-6, Tue 12-8, Wed 12-8, Thu 10-6, Fri 10-6, Sat Closed, Sun Closed",Alondra Library – LA County Library,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Norwalk,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Angelo M. Iacoboni Library,4990 Clark Avenue,Lakewood,CA,90712,562.866.1777,"Mon Closed, Tue 12-8, Wed 12-8, Thu 10-6, Fri 10-6, Sat 10-6, Sun Closed",Angelo M. Iacoboni Library – LA County Library,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Lakewood,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Antelope Valley East Bookmobile,601 W. Lancaster Blvd.,Lancaster,CA,93534,661.948.0796,"Mon Closed, Tue 8-5, Wed 8-5, Thu 8-5, Fri 8-5, Sat 8-5, Sun Closed",Antelope Valley East Bookmobile – LA County Library,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Lancaster,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Antelope Valley West Bookmobile,601 W. Lancaster Blvd.,Lancaster,CA,93534,661.948.8270,"Mon Closed, Tue 8-5, Wed 8-5, Thu 8-5, Fri 8-5, Sat 8-5, Sun Closed",Antelope Valley West Bookmobile – LA County Library,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Lancaster,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Anthony Quinn Library,3965 Cesar E. Chavez Avenue,Los Angeles,CA,90063,323.264.7715,"Mon 10-8, Tue 10-8, Wed 10-8, Thu 10-8, Fri 10-6, Sat 10-6, Sun Closed",Anthony Quinn Library – LA County Library,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Artesia Library,18801 Elaine Ave.,Artesia,CA,90701,562.865.6614,"Mon Closed, Tue 12-8, Wed 12-8, Thu 10-6, Fri 10-6, Sat 10-6, Sun Closed",Artesia Library – LA County Library,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Artesia,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Avalon Library,215 Sumner Ave. P.O. Box 585,Avalon,CA,90704,310.510.1050,"Mon Closed, Tue 12-8, Wed 12-8, Thu 10-6, Fri 10-6, Sat 10-6, Sun Closed",Avalon Library – LA County Library,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Avalon,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
Los Angeles County Library - Baldwin Park Library,4181 Baldwin Park Blvd.,Baldwin Park,CA,91706,626.962.6947,"Mon Closed, Tue 12-8, Wed 12-8, Thu 10-6, Fri 10-6, Sat 10-6, Sun Closed",Baldwin Park Library – LA County Library,Community Library Manager ,Community Library Manager , LibraryDirector@library.lacounty.gov,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,Baldwin Park,Both,No,Yes,"Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No,,,
