Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply.Â ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted,lat,long,google_maps_url,physical_county
Riverside County Libraries - Home Gardens Library,3785 S Neece St,Corona,CA,92879,951-279-2148,http://www.rivlib.net/branch/home-gardens,-,Branch Manager,infohga@rivlib.net,Riverside County Libraries - Home Gardens Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Home Gardens Library,Corona,951-279-2148,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/home-gardens,Riverside County Libraries - Home Gardens Library,Corona,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/home-gardens,Riverside County Libraries - Home Gardens Library,Corona,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/home-gardens,Riverside County Libraries - Home Gardens Library,Corona,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/home-gardens,Riverside County Libraries - Home Gardens Library,Corona,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/home-gardens,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.874684,-117.52581,"https://www.google.com/maps?q=33.874684,-117.52581",Riverside
Riverside County Libraries - Idyllwild Library,544401 Village Center Drive,Idyllwild,CA,92549,951-659-2453,http://www.rivlib.net/branch/idyllwild,James Wyatt,Branch Manager,infoidl@rivlib.net,Riverside County Libraries - Idyllwild Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Idyllwild Library,Idyllwild,951-659-2453,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/idyllwild,Riverside County Libraries - Idyllwild Library,Idyllwild,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/idyllwild,Riverside County Libraries - Idyllwild Library,Idyllwild,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/idyllwild,Riverside County Libraries - Idyllwild Library,Idyllwild,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/idyllwild,Riverside County Libraries - Idyllwild Library,Idyllwild,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/idyllwild,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.744066,-116.712942,"https://www.google.com/maps?q=33.744066,-116.712942",Riverside
Riverside County Libraries - Indio Public Library,200 Civic Center Drive,Indio ,CA,92201,760-347-2383,http://www.rivlib.net/branch/indio ,Joseph Hamersly ,Branch Manager,infoind@rivlib.net,Riverside County Libraries - Indio Public Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Indio Public Library,Indio ,760-347-2383,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/indio ,Riverside County Libraries - Indio Public Library,Indio ,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/indio ,Riverside County Libraries - Indio Public Library,Indio ,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/indio ,Riverside County Libraries - Indio Public Library,Indio ,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/indio ,Riverside County Libraries - Indio Public Library,Indio ,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/indio ,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.71896,-116.218929,"https://www.google.com/maps?q=33.71896,-116.218929",Riverside
Riverside County Libraries - La Quinta Public Library,78275 Calle Tampico,La Quinta,CA,92253,760-564-4767,http://www.rivlib.net/branch/la-quinta,Sara Delacruz,Branch Manager,infolaq@rivlib.net,Riverside County Libraries - La Quinta Public Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - La Quinta Public Library,La Quinta,760-564-4767,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/la-quinta,Riverside County Libraries - La Quinta Public Library,La Quinta,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/la-quinta,Riverside County Libraries - La Quinta Public Library,La Quinta,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/la-quinta,Riverside County Libraries - La Quinta Public Library,La Quinta,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/la-quinta,Riverside County Libraries - La Quinta Public Library,La Quinta,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/la-quinta,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.677877,-116.298808,"https://www.google.com/maps?q=33.677877,-116.298808",Riverside
Riverside County Libraries - Lake Elsinore Library,"17600 Collier Ave, Suite G170",Lake Elsinore,CA,92530,951-674-4517,http://www.rivlib.net/branch/lake-elsinore,Krystal Van Eyk,Branch Manager,infolke@rivlib.net,Riverside County Libraries - Lake Elsinore Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Lake Elsinore Library,Lake Elsinore,951-674-4517,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/lake-elsinore,Riverside County Libraries - Lake Elsinore Library,Lake Elsinore,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/lake-elsinore,Riverside County Libraries - Lake Elsinore Library,Lake Elsinore,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/lake-elsinore,Riverside County Libraries - Lake Elsinore Library,Lake Elsinore,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/lake-elsinore,Riverside County Libraries - Lake Elsinore Library,Lake Elsinore,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/lake-elsinore,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.70015,-117.35089,"https://www.google.com/maps?q=33.70015,-117.35089",Riverside
Riverside County Libraries - Lake Tamarisk Library,43880 Tamarisk Dr,Desert Center,CA,92239,760-227-3273,https://www.rivlib.net/branch/lake-tamarisk,Andrayah Mendoza,Branch Manager,infolkt@rivlib.net,Riverside County Libraries - Lake Tamarisk Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Lake Tamarisk Library,Desert Center,760-227-3273,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/lake-tamarisk,Riverside County Libraries - Lake Tamarisk Library,Desert Center,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/lake-tamarisk,Riverside County Libraries - Lake Tamarisk Library,Desert Center,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/lake-tamarisk,Riverside County Libraries - Lake Tamarisk Library,Desert Center,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/lake-tamarisk,Riverside County Libraries - Lake Tamarisk Library,Desert Center,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/lake-tamarisk,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.73789,-115.39237,"https://www.google.com/maps?q=33.73789,-115.39237",Riverside
Riverside County Libraries - Lakeland Village Library,"16275 Grand Ave., Suite E",Lake Elsinore,CA,92530,951-678-7083,http://www.rivlib.net/branch/lakeland-village,Monica Ybanez,Branch Manager,infolak@rivlib.net,Riverside County Libraries - Lakeland Village Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Lakeland Village Library,Lake Elsinore,951-678-7083,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/lakeland-village,Riverside County Libraries - Lakeland Village Library,Lake Elsinore,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/lakeland-village,Riverside County Libraries - Lakeland Village Library,Lake Elsinore,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/lakeland-village,Riverside County Libraries - Lakeland Village Library,Lake Elsinore,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/lakeland-village,Riverside County Libraries - Lakeland Village Library,Lake Elsinore,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/lakeland-village,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.65091,-117.36654,"https://www.google.com/maps?q=33.65091,-117.36654",Riverside
Riverside County Libraries - Louis Robidoux Library,5840 Mission Blvd.,Jurupa Valley,CA,92509,951-682-8641,https://www.rivlib.net/branch/louis-robidoux,Charlotte Reynolds,Branch Manager,inforob@rivlib.net,Riverside County Libraries - Louis Robidoux Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Louis Robidoux Library,Jurupa Valley,951-682-8641,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/louis-robidoux,Riverside County Libraries - Louis Robidoux Library,Jurupa Valley,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/louis-robidoux,Riverside County Libraries - Louis Robidoux Library,Jurupa Valley,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/louis-robidoux,Riverside County Libraries - Louis Robidoux Library,Jurupa Valley,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/louis-robidoux,Riverside County Libraries - Louis Robidoux Library,Jurupa Valley,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/louis-robidoux,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,34.000036,-117.414128,"https://www.google.com/maps?q=34.000036,-117.414128",Riverside
Riverside County Libraries - Mead Valley Library,21580 Oakwood Street,Mead Valley ,CA,92570,951-943-4727,https://www.rivlib.net/branch/mead-valley,Roger Zamarripa,Branch Manager,infomdv@rivlib.net,Riverside County Libraries - Mead Valley Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Mead Valley Library,Mead Valley ,951-943-4727,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/mead-valley,Riverside County Libraries - Mead Valley Library,Mead Valley ,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/mead-valley,Riverside County Libraries - Mead Valley Library,Mead Valley ,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/mead-valley,Riverside County Libraries - Mead Valley Library,Mead Valley ,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/mead-valley,Riverside County Libraries - Mead Valley Library,Mead Valley ,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",https://www.rivlib.net/branch/mead-valley,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.833812,-117.286843,"https://www.google.com/maps?q=33.833812,-117.286843",Riverside
Riverside County Libraries - Mecca Library,91260 66th Ave.,Mecca,CA,92254,760-396-2363,https://www.rivlib.net/branch/mecca,Lesly Vallejo ,Branch Manager,infomec@rivlib.net,Riverside County Libraries - Mecca Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Mecca Library,Mecca,760-396-2363,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",https://www.rivlib.net/branch/mecca,Riverside County Libraries - Mecca Library,Mecca,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",https://www.rivlib.net/branch/mecca,Riverside County Libraries - Mecca Library,Mecca,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",https://www.rivlib.net/branch/mecca,Riverside County Libraries - Mecca Library,Mecca,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",https://www.rivlib.net/branch/mecca,Riverside County Libraries - Mecca Library,Mecca,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",https://www.rivlib.net/branch/mecca,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.56956,-116.07387,"https://www.google.com/maps?q=33.56956,-116.07387",Riverside
