Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
County of Alameda Library,2450 Stevenson Blvd,Fremont,CA,94538,'+15107451582,https://aclibrary.org/,Angel Vazquez,Information Systems Manager,avazquez@aclibrary.org,County of Alameda Library,,"Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Alameda,,In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Mandarin, Cantonese",,No. Our services are offered free of cost.,2026-01-07 14:07:00
CEO-ARDI,500 W Temple Street,Los Angeles,CA,90012,'+12139482822,https://ceo.lacounty.gov/ardi/,Tolu Bamishigbin,Principal Analyst,twuraola@ceo.lacounty.gov,CEO-ARDI,,Online educational resources,County-wide or across multiple counties,Los Angeles,,Virtually,https://experience.arcgis.com/experience/9d7a43397ea84ab98a534be5b5376fba/page/Home?views=Map-Layers%2CSocial-Equity#data_s=id%3AdataSource_4-195af011fd3-layer-87%3A136,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other",English,"Information sharing, Other",No. Our services are offered free of cost.,2026-01-07 13:56:00
Long Beach Collaboratory Program,"411 Ocean Blvd,",Long Beach,CA,90802,'+15625707002,https://www.longbeach.gov/smartcity/pilot-programs/lb-co-lab/,Ryan Welc,Program Manager,ryan.welch@longbeach.gov,Long Beach Collaboratory Program,,"Digital literacy & skills training, Workforce development resources",City-wide or across multiple cities,Los Angeles,,In-Person,,,,,,https://www.longbeach.gov/smartcity/pilot-programs/lb-co-lab/,,,,,https://www.longbeach.gov/smartcity/pilot-programs/lb-co-lab/,,,,,https://www.longbeach.gov/smartcity/pilot-programs/lb-co-lab/,,,,,https://www.longbeach.gov/smartcity/pilot-programs/lb-co-lab/,,,,,https://www.longbeach.gov/smartcity/pilot-programs/lb-co-lab/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Khmer","Organizational training, Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,2026-01-06 11:42:00
LA County Library,7400 E Imperial Hwy,Downey,CA,90242,'+15629408462,https://lacountylibrary.org/,Amy Crow,Assistant Library Administrator,acrow@library.lacounty.gov,LA County Library,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,,"Virtually, In-Person",https://lacountylibrary.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,2026-01-05 16:54:00
United Way of Merced County,531 W. Main St.,Merced,CA,95340,'+12093834242,https://www.unitedwaymerced.org/,Robert Hypes,CEO,roberth@unitedwaymerced.org,United Way of Merced County,,Locating low-cost internet service programs,County-wide or across multiple counties,Merced,,In-Person,,We prefer using our 2-1-1 telephone line.,,,,,We prefer using our 2-1-1 telephone line.,,,,,We prefer using our 2-1-1 telephone line.,,,,,We prefer using our 2-1-1 telephone line.,,,,,We prefer using our 2-1-1 telephone line.,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Partnership opportunities,No. Our services are offered free of cost.,2026-01-05 12:17:00
Los Angeles County Department of Aging & Disabilities,510 S. Vermont Avenue 11th floor,Los Angeles,CA,90020,'+13233564672,https://ad.lacounty.gov,Ivan Pacheco,DCIO,ipacheco@ad.lacounty.gov,Los Angeles County Department of Aging & Disabilities,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Computer center(s)",County-wide or across multiple counties,Los Angeles,,In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Armenian, Arabic, Russian, Japanese, French","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,2026-01-05 11:12:00
On Lok 30th Street Senior Center,225 30th Street,San Franciso,CA,94131,'+14152928812,https://www.onlok.org/senior-center/,"Imani Austin, DSW","Assistant Director of Senior Programs and Operations, Day Services",imani.austin@onlok.org,On Lok 30th Street Senior Center,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Francisco,,Virtually,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other","English, Spanish, Mandarin, Cantonese","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,2025-12-31 11:20:00
On Lok 30th Street Senior Center,225 30th Street,San Franciso,CA,94131,'+14152928812,https://www.onlok.org/senior-center/,"Imani Austin, DSW","Assistant Director of Senior Programs and Operations, Day Services",imani.austin@onlok.org,On Lok 30th Street Senior Center,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Francisco,,In-Person,https://alwaysactive.org/,On Lok 30th Street Senior Center,San Franciso,'+14152928812,9AM-4PM/ 8:30AM-5PM,https://www.onlok.org/senior-center/,On Lok 30th Street Senior Center,San Franciso,'+14152928812,9AM-4PM/ 8:30AM-5PM,https://www.onlok.org/senior-center/,On Lok 30th Street Senior Center,San Franciso,'+14152928812,9AM-4PM/ 8:30AM-5PM,https://www.onlok.org/senior-center/,On Lok 30th Street Senior Center,San Franciso,'+14152928812,9AM-4PM/ 8:30AM-5PM,https://www.onlok.org/senior-center/,On Lok 30th Street Senior Center,San Franciso,'+14152928812,9AM-4PM/ 8:30AM-5PM,https://www.onlok.org/senior-center/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other","English, Spanish, Mandarin, Cantonese","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,2025-12-31 11:20:00
LA County Metropolitan Transportation Authority,One Gateway Plaza,Los Angeles,CA,90012,'+12133171411,https://metro.net,Edward-Michael Muna,"Senior Manager Transportation Planning, Office of Equity and Race",munae@metro.net,LA County Metropolitan Transportation Authority,,"Digital navigation (in-person or virtual/call center), Public Wi-Fi, Workforce development resources",County-wide or across multiple counties,Los Angeles,,"Virtually, In-Person",https://www.metro.net/riding/rider-apps/,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and itâ€™s less than $25.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Mandarin, Korean, Armenian, Russian, Japanese, French, Khmer",,,2025-12-30 15:37:00
Fresno County Public Library,2420 Mariposa Street,Fresno,CA,93721,'+15596007323,https://www.fresnolibrary.org/,Fae Giffen,Community Engagement Manager,fae.giffen@fresnolibrary.org,Fresno County Public Library,,"Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Fresno,,Virtually,https://www.fresnolibrary.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",English,Information sharing,No. Our services are offered free of cost.,12/30/2025 13:25
Los Angeles County Office of Education,LACOE Technology Services - EdTech and Innovation,Downey,CA,90242,'+15629226111,https://www.lacoe.edu/services/technology/learning-support,Beth Olshewsky,Library Services Manager,edtech@lacoe.edu,Los Angeles County Office of Education,,Digital literacy & skills training,County-wide or across multiple counties,Los Angeles,,Virtually,https://www.lacoe.edu/services/technology/learning-support,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",English,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,12/30/2025 10:44
Los Angeles County Office of Education,LACOE Technology Services - EdTech and Innovation,Downey,CA,90242,'+15629226111,https://www.lacoe.edu/services/technology/learning-support,Beth Olshewsky,Library Services Manager,edtech@lacoe.edu,Los Angeles County Office of Education,,Digital literacy & skills training,County-wide or across multiple counties,Los Angeles,,In-Person,,Los Angeles County Office of Education EC,Downey,'+15629226111,8:00am-5:00pm,https://www.lacoe.edu/services/technology/learning-support,Los Angeles County Office of Education EC,Downey,'+15629226111,8:00am-5:00pm,https://www.lacoe.edu/services/technology/learning-support,Los Angeles County Office of Education EC,Downey,'+15629226111,8:00am-5:00pm,https://www.lacoe.edu/services/technology/learning-support,Los Angeles County Office of Education EC,Downey,'+15629226111,8:00am-5:00pm,https://www.lacoe.edu/services/technology/learning-support,Los Angeles County Office of Education EC,Downey,'+15629226111,8:00am-5:00pm,https://www.lacoe.edu/services/technology/learning-support,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",English,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,12/30/2025 10:44
San Francisco Public Library,100 Larkin St.,San Francisco,CA,94102,'+14155574400,https://sfpl.org,Maricela Leon-Barrera,Librarian III - Digital Equity Manager,maricela.leonbarrera@sfpl.org,San Francisco Public Library,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,"Alameda, Contra Costa, Marin, San Francisco, San Mateo",,Virtually,https://sfpl.org/research-learn,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese",Partnership opportunities,No. Our services are offered free of cost.,12/30/2025 10:19
San Francisco Public Library,100 Larkin St.,San Francisco,CA,94102,'+14155574400,https://sfpl.org,Maricela Leon-Barrera,Librarian III - Digital Equity Manager,maricela.leonbarrera@sfpl.org,San Francisco Public Library,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,"Alameda, Contra Costa, Marin, San Francisco, San Mateo",,In-Person,,San Francisco Public Libraries - various locations,San Francisco,'+14155574400,"Mon 9am-6pm, Tue - Thu 9am-8pm, Fri, Sun 12-6pm, Sat 10am-6pm",https://sfpl.org/thebridge,San Francisco Public Libraries - various locations,San Francisco,'+14155574400,"Mon 9am-6pm, Tue - Thu 9am-8pm, Fri, Sun 12-6pm, Sat 10am-6pm",https://sfpl.org/thebridge,San Francisco Public Libraries - various locations,San Francisco,'+14155574400,"Mon 9am-6pm, Tue - Thu 9am-8pm, Fri, Sun 12-6pm, Sat 10am-6pm",https://sfpl.org/thebridge,San Francisco Public Libraries - various locations,San Francisco,'+14155574400,"Mon 9am-6pm, Tue - Thu 9am-8pm, Fri, Sun 12-6pm, Sat 10am-6pm",https://sfpl.org/thebridge,San Francisco Public Libraries - various locations,San Francisco,'+14155574400,"Mon 9am-6pm, Tue - Thu 9am-8pm, Fri, Sun 12-6pm, Sat 10am-6pm",https://sfpl.org/thebridge,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese",Partnership opportunities,No. Our services are offered free of cost.,12/30/2025 10:19
"International Rescue Committee, San Jose",1210 S Bascom Ave,San Jose,CA,95128,'+14082770255,https://www.rescue.org/united-states/san-jose-ca,Amaline Chraibi,Digital Inclusion Specialist,sanjose@rescue.org,"International Rescue Committee, San Jose",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,"Alameda, San Mateo, Santa Clara, Santa Cruz",,Virtually,https://www.rescue.org/united-states/san-jose-ca,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other","English, Spanish, Farsi, Arabic","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/30/2025 10:05
